SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.49430989203384884;13.601470508735444
117122;GreyMatter;0.7235161341503938;2.0
117122;Hippocampus;0.5704439489154672;13.92838827718412
117122;Thalamus;0.7765932466068661;14.352700094407323
117122;WhiteMatter;0.8172647148893385;3.0
117122-PP;Amygdala;0.6459713024282561;9.848857801796104
117122-PP;GreyMatter;0.5890175029274457;10.04987562112089
117122-PP;Hippocampus;0.7062164440697519;4.47213595499958
117122-PP;Thalamus;0.8483461507756992;3.0
117122-PP;WhiteMatter;0.8244159333836233;2.0
118528;Amygdala;0.4632004215703496;13.92838827718412
118528;GreyMatter;0.7218831820022259;2.23606797749979
118528;Hippocampus;0.5404594839293798;14.317821063276353
118528;Thalamus;0.7277987054881475;15.132745950421556
118528;WhiteMatter;0.8291362462701358;2.8284271247461903
118528-PP;Amygdala;0.607981521878609;9.848857801796104
118528-PP;GreyMatter;0.6306583878053049;8.366600265340756
118528-PP;Hippocampus;0.6837670017740982;5.0990195135927845
118528-PP;Thalamus;0.8086171150775683;3.7416573867739413
118528-PP;WhiteMatter;0.832457212154261;2.0
118730;Amygdala;0.5705802968960864;11.661903789690601
118730;GreyMatter;0.7299208560263475;2.0
118730;Hippocampus;0.5027468358272377;11.40175425099138
118730;Thalamus;0.7233158355205599;15.0
118730;WhiteMatter;0.8156090731859702;2.23606797749979
118730-PP;Amygdala;0.7171513353115727;6.708203932499369
118730-PP;GreyMatter;0.6718391835191344;6.782329983125268
118730-PP;Hippocampus;0.6290176994623445;5.385164807134504
118730-PP;Thalamus;0.8042818023400548;4.242640687119285
118730-PP;WhiteMatter;0.8260725099051105;1.7320508075688772
118932;Amygdala;0.5517370540312764;12.727922061357855
118932;GreyMatter;0.7339884844676189;2.0
118932;Hippocampus;0.5204472169484374;13.379088160259652
118932;Thalamus;0.7430864556909386;14.866068747318506
118932;WhiteMatter;0.8348585041793565;2.23606797749979
118932-PP;Amygdala;0.7162683114880494;10.198039027185569
118932-PP;GreyMatter;0.6553079502525574;7.0710678118654755
118932-PP;Hippocampus;0.6912707545618938;4.69041575982343
118932-PP;Thalamus;0.8215095409030796;4.123105625617661
118932-PP;WhiteMatter;0.8354781988736952;2.0
120111;Amygdala;0.5205596314622079;9.486832980505138
120111;GreyMatter;0.7183706695330314;2.0
120111;Hippocampus;0.5183680892337537;11.916375287812984
120111;Thalamus;0.6959993481626334;15.937377450509228
120111;WhiteMatter;0.8489234963870309;2.23606797749979
120111-PP;Amygdala;0.6368677152879937;7.0710678118654755
120111-PP;GreyMatter;0.6221506358827318;8.94427190999916
120111-PP;Hippocampus;0.6544435361438748;4.58257569495584
120111-PP;Thalamus;0.8009716910792024;4.0
120111-PP;WhiteMatter;0.8455390505641762;2.0
122317;Amygdala;0.5958150851581508;13.341664064126334
122317;GreyMatter;0.7358524421692947;2.0
122317;Hippocampus;0.5465824989116238;13.076696830622021
122317;Thalamus;0.763974109097909;14.035668847618199
122317;WhiteMatter;0.8354993287186523;2.8284271247461903
122317-PP;Amygdala;0.7410691664555359;3.1622776601683795
122317-PP;GreyMatter;0.5694047878003824;10.723805294763608
122317-PP;Hippocampus;0.7061108620947258;4.242640687119285
122317-PP;Thalamus;0.8556858745537991;3.3166247903554
122317-PP;WhiteMatter;0.8382583297019092;1.7320508075688772
122620;Amygdala;0.6018021297897516;13.152946437965905
122620;GreyMatter;0.7381594168716377;2.23606797749979
122620;Hippocampus;0.5566093473055754;14.212670403551895
122620;Thalamus;0.7622039632672789;12.529964086141668
122620;WhiteMatter;0.8075915834090222;2.8284271247461903
122620-PP;Amygdala;0.7060770867817451;4.898979485566356
122620-PP;GreyMatter;0.6268657298414416;8.774964387392123
122620-PP;Hippocampus;0.7016105897299291;4.47213595499958
122620-PP;Thalamus;0.824083114282138;3.605551275463989
122620-PP;WhiteMatter;0.8282465120028937;1.4142135623730951
123117;Amygdala;0.5366340224882118;13.076696830622021
123117;GreyMatter;0.7223177684331572;2.449489742783178
123117;Hippocampus;0.5307571927290237;13.0
123117;Thalamus;0.7095726530863944;16.792855623746664
123117;WhiteMatter;0.8465686274509804;3.0
123117-PP;Amygdala;0.6943253467843632;11.40175425099138
123117-PP;GreyMatter;0.633726450166436;7.54983443527075
123117-PP;Hippocampus;0.690781796966161;5.744562646538029
123117-PP;Thalamus;0.791145784378231;4.242640687119285
123117-PP;WhiteMatter;0.8491625131734837;1.7320508075688772
123925;Amygdala;0.5528832760702015;11.575836902790225
123925;GreyMatter;0.7169784299211778;2.0
123925;Hippocampus;0.5360348191505327;13.416407864998739
123925;Thalamus;0.7749697625564963;14.247806848775006
123925;WhiteMatter;0.8326643852379977;3.0
123925-PP;Amygdala;0.6877679697351828;9.219544457292887
123925-PP;GreyMatter;0.586570922446254;8.602325267042627
123925-PP;Hippocampus;0.6989023544293467;5.0990195135927845
123925-PP;Thalamus;0.8505668823901513;3.605551275463989
123925-PP;WhiteMatter;0.8361660198680396;2.0
124422;Amygdala;0.6396039603960396;11.575836902790225
124422;GreyMatter;0.713842165155447;2.0
124422;Hippocampus;0.567238912732475;11.874342087037917
124422;Thalamus;0.7959103055652376;14.560219778561036
124422;WhiteMatter;0.7816344682426124;3.0
124422-PP;Amygdala;0.7659276546091015;7.681145747868608
124422-PP;GreyMatter;0.46526749071954315;12.24744871391589
124422-PP;Hippocampus;0.7173541835175699;4.358898943540674
124422-PP;Thalamus;0.8637259602578445;3.1622776601683795
124422-PP;WhiteMatter;0.825603860942383;1.4142135623730951
