SUBJECT;LABEL;DICE;HDRFDST;;LABEL;METRIC;STATISTIC;VALUE
123925-PP;Hippocampus;0.584778577;8.94427191;;;;;
123925-PP;Thalamus;0.793866535;5.385164807;;;;;
123925-PP;WhiteMatter;0.839243694;2;;;;;
124422;Amygdala;0.63960396;11.5758369;;;;;
124422;GreyMatter;0.713842165;2;;;;;
124422;Hippocampus;0.567238913;11.87434209;;;;;
124422;Thalamus;0.795910306;14.56021978;;;;;
124422;WhiteMatter;0.781634468;3;;;;;
124422-PP;Amygdala;0.675127865;9.486832981;;;;;
124422-PP;GreyMatter;0.691576189;2.449489743;;;;;
124422-PP;Hippocampus;0.621337367;6.08276253;;;;;
124422-PP;Thalamus;0.823815078;5.385164807;;;;;
124422-PP;WhiteMatter;0.794628679;2;;;;;
