SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.0;inf
117122;GreyMatter;0.0;inf
117122;Hippocampus;0.0;inf
117122;Thalamus;0.0;inf
117122;WhiteMatter;0.4497032419470956;9.899494936611665
117122-PP;Amygdala;0.0;inf
117122-PP;GreyMatter;0.0;inf
117122-PP;Hippocampus;0.0;inf
117122-PP;Thalamus;0.0;inf
117122-PP;WhiteMatter;0.4497032419470956;9.899494936611665
118528;Amygdala;0.0;inf
118528;GreyMatter;0.0;inf
118528;Hippocampus;0.0;inf
118528;Thalamus;0.0;inf
118528;WhiteMatter;0.4400404370739468;10.04987562112089
118528-PP;Amygdala;0.0;inf
118528-PP;GreyMatter;0.0;inf
118528-PP;Hippocampus;0.0;inf
118528-PP;Thalamus;0.0;inf
118528-PP;WhiteMatter;0.4400404370739468;10.04987562112089
118730;Amygdala;0.0;inf
118730;GreyMatter;0.0;inf
118730;Hippocampus;0.0;inf
118730;Thalamus;0.0;inf
118730;WhiteMatter;0.4116007708315538;10.488088481701515
118730-PP;Amygdala;0.0;inf
118730-PP;GreyMatter;0.0;inf
118730-PP;Hippocampus;0.0;inf
118730-PP;Thalamus;0.0;inf
118730-PP;WhiteMatter;0.4116007708315538;10.488088481701515
118932;Amygdala;0.0;inf
118932;GreyMatter;0.0;inf
118932;Hippocampus;0.0;inf
118932;Thalamus;0.0;inf
118932;WhiteMatter;0.44461081116527135;11.045361017187261
118932-PP;Amygdala;0.0;inf
118932-PP;GreyMatter;0.0;inf
118932-PP;Hippocampus;0.0;inf
118932-PP;Thalamus;0.0;inf
118932-PP;WhiteMatter;0.44461081116527135;11.045361017187261
120111;Amygdala;0.0;inf
120111;GreyMatter;0.0;inf
120111;Hippocampus;0.0;inf
120111;Thalamus;0.0;inf
120111;WhiteMatter;0.4828551076458996;10.295630140987
120111-PP;Amygdala;0.0;inf
120111-PP;GreyMatter;0.0;inf
120111-PP;Hippocampus;0.0;inf
120111-PP;Thalamus;0.0;inf
120111-PP;WhiteMatter;0.4828551076458996;10.295630140987
122317;Amygdala;0.0;inf
122317;GreyMatter;0.0;inf
122317;Hippocampus;0.0;inf
122317;Thalamus;0.0;inf
122317;WhiteMatter;0.46469117265309706;11.045361017187261
122317-PP;Amygdala;0.0;inf
122317-PP;GreyMatter;0.0;inf
122317-PP;Hippocampus;0.0;inf
122317-PP;Thalamus;0.0;inf
122317-PP;WhiteMatter;0.46469117265309706;11.045361017187261
122620;Amygdala;0.0;inf
122620;GreyMatter;0.0;inf
122620;Hippocampus;0.0;inf
122620;Thalamus;0.0;inf
122620;WhiteMatter;0.41937164847583414;11.224972160321824
122620-PP;Amygdala;0.0;inf
122620-PP;GreyMatter;0.0;inf
122620-PP;Hippocampus;0.0;inf
122620-PP;Thalamus;0.0;inf
122620-PP;WhiteMatter;0.41937164847583414;11.224972160321824
123117;Amygdala;0.0;inf
123117;GreyMatter;0.0;inf
123117;Hippocampus;0.0;inf
123117;Thalamus;0.0;inf
123117;WhiteMatter;0.4668324798829554;11.180339887498949
123117-PP;Amygdala;0.0;inf
123117-PP;GreyMatter;0.0;inf
123117-PP;Hippocampus;0.0;inf
123117-PP;Thalamus;0.0;inf
123117-PP;WhiteMatter;0.4668324798829554;11.180339887498949
123925;Amygdala;0.0;inf
123925;GreyMatter;0.0;inf
123925;Hippocampus;0.0;inf
123925;Thalamus;0.0;inf
123925;WhiteMatter;0.4668528892120262;10.488088481701515
123925-PP;Amygdala;0.0;inf
123925-PP;GreyMatter;0.0;inf
123925-PP;Hippocampus;0.0;inf
123925-PP;Thalamus;0.0;inf
123925-PP;WhiteMatter;0.4668528892120262;10.488088481701515
124422;Amygdala;0.0;inf
124422;GreyMatter;0.0;inf
124422;Hippocampus;0.0;inf
124422;Thalamus;0.0;inf
124422;WhiteMatter;0.4239695198911761;10.0
124422-PP;Amygdala;0.0;inf
124422-PP;GreyMatter;0.0;inf
124422-PP;Hippocampus;0.0;inf
124422-PP;Thalamus;0.0;inf
124422-PP;WhiteMatter;0.4239695198911761;10.0
