SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.44060710715259477;20.54263858417414
117122;GreyMatter;0.7088209358596672;2.8284271247461903
117122;Hippocampus;0.40446235502260663;19.4164878389476
117122;Thalamus;0.7243993200716681;10.392304845413264
117122;WhiteMatter;0.8138415345293928;2.8284271247461903
117122-PP;Amygdala;0.5574190542744002;12.409673645990857
117122-PP;GreyMatter;0.6572734370603792;7.483314773547883
117122-PP;Hippocampus;0.4997357376029846;13.490737563232042
117122-PP;Thalamus;0.7658635900916186;6.4031242374328485
117122-PP;WhiteMatter;0.8178440013241307;4.123105625617661
118528;Amygdala;0.3596911824461601;19.209372712298546
118528;GreyMatter;0.7055599798380212;4.358898943540674
118528;Hippocampus;0.3811700369334993;20.322401432901575
118528;Thalamus;0.6905413945649884;8.831760866327848
118528;WhiteMatter;0.8231862956815895;3.0
118528-PP;Amygdala;0.4682210156499521;15.165750888103101
118528-PP;GreyMatter;0.6667881485448716;5.656854249492381
118528-PP;Hippocampus;0.46356911228212405;15.811388300841896
118528-PP;Thalamus;0.7353748216441663;6.164414002968976
118528-PP;WhiteMatter;0.8259439336944137;4.123105625617661
118730;Amygdala;0.48120794354176927;16.673332000533065
118730;GreyMatter;0.7155108421662824;2.449489742783178
118730;Hippocampus;0.36302438589452096;19.44222209522358
118730;Thalamus;0.7077929155313352;10.0
118730;WhiteMatter;0.8113510002673299;2.23606797749979
118730-PP;Amygdala;0.5828184173809049;11.661903789690601
118730-PP;GreyMatter;0.6716923409827747;6.48074069840786
118730-PP;Hippocampus;0.41825095057034223;15.0
118730-PP;Thalamus;0.7396210929484988;6.708203932499369
118730-PP;WhiteMatter;0.8158481905240433;4.358898943540674
118932;Amygdala;0.4527708850289495;18.384776310850235
118932;GreyMatter;0.7197949375883962;3.1622776601683795
118932;Hippocampus;0.36344053594123604;19.6468827043885
118932;Thalamus;0.7092419080068143;10.0
118932;WhiteMatter;0.8291890353126955;2.449489742783178
118932-PP;Amygdala;0.5601813685078318;15.620499351813308
118932-PP;GreyMatter;0.6768726220297806;5.0990195135927845
118932-PP;Hippocampus;0.4497942276138473;15.033296378372908
118932-PP;Thalamus;0.7565917536719164;6.164414002968976
118932-PP;WhiteMatter;0.8286147419873612;4.242640687119285
120111;Amygdala;0.4189902034664657;15.297058540778355
120111;GreyMatter;0.7033780718447861;3.0
120111;Hippocampus;0.3645341256439305;19.4164878389476
120111;Thalamus;0.6731927710843374;11.532562594670797
120111;WhiteMatter;0.8454023616422238;2.23606797749979
120111-PP;Amygdala;0.5084528922598922;12.649110640673518
120111-PP;GreyMatter;0.6571902651985798;6.324555320336759
120111-PP;Hippocampus;0.43753071094214707;14.7648230602334
120111-PP;Thalamus;0.7115008489694156;7.280109889280518
120111-PP;WhiteMatter;0.8353566883247371;4.123105625617661
122317;Amygdala;0.5136262760763427;17.916472867168917
122317;GreyMatter;0.7221345240898532;3.0
122317;Hippocampus;0.3830377082424211;19.4164878389476
122317;Thalamus;0.7255101317002813;10.0
122317;WhiteMatter;0.8317918044114108;2.449489742783178
122317-PP;Amygdala;0.6339681133746679;14.352700094407323
122317-PP;GreyMatter;0.6634373575925332;7.810249675906654
122317-PP;Hippocampus;0.4831110965501425;14.352700094407323
122317-PP;Thalamus;0.7761670637133155;6.708203932499369
122317-PP;WhiteMatter;0.8308091534522063;4.123105625617661
122620;Amygdala;0.49987614565271243;17.60681686165901
122620;GreyMatter;0.723251659378403;4.123105625617661
122620;Hippocampus;0.3880304582090217;20.049937655763422
122620;Thalamus;0.7314872433105165;8.660254037844387
122620;WhiteMatter;0.8029009375765203;2.8284271247461903
122620-PP;Amygdala;0.5873095934631293;15.297058540778355
122620-PP;GreyMatter;0.6780125607353162;7.280109889280518
122620-PP;Hippocampus;0.47499722807406586;14.866068747318506
122620-PP;Thalamus;0.7711308554682048;5.656854249492381
122620-PP;WhiteMatter;0.8126394908494002;3.605551275463989
123117;Amygdala;0.4278152069297401;18.439088914585774
123117;GreyMatter;0.7065145137060659;4.47213595499958
123117;Hippocampus;0.36956754099061545;19.79898987322333
123117;Thalamus;0.6921598851327098;13.892443989449804
123117;WhiteMatter;0.84197508364034;3.0
123117-PP;Amygdala;0.5333469304507444;15.264337522473747
123117-PP;GreyMatter;0.6646101646394426;5.477225575051661
123117-PP;Hippocampus;0.44909928780896524;14.7648230602334
123117-PP;Thalamus;0.7385787364085302;6.48074069840786
123117-PP;WhiteMatter;0.8417435926039546;4.123105625617661
123925;Amygdala;0.47028787745400125;16.278820596099706
123925;GreyMatter;0.7016731645163997;3.0
123925;Hippocampus;0.3900484738484694;20.024984394500787
123925;Thalamus;0.7394144889182931;8.831760866327848
123925;WhiteMatter;0.8274866911923826;3.0
123925-PP;Amygdala;0.5893591025213818;11.045361017187261
123925-PP;GreyMatter;0.6584768077780029;7.211102550927978
123925-PP;Hippocampus;0.4752034308335166;14.730919862656235
123925-PP;Thalamus;0.7733911405986555;6.4031242374328485
123925-PP;WhiteMatter;0.8252567116684433;4.0
124422;Amygdala;0.5623302888175759;15.905973720586866
124422;GreyMatter;0.6998309291646814;3.0
124422;Hippocampus;0.39558937869613364;18.973665961010276
124422;Thalamus;0.7754309639089655;10.0
124422;WhiteMatter;0.7799389880883704;3.0
124422-PP;Amygdala;0.6768473916162755;9.848857801796104
124422-PP;GreyMatter;0.6477289304670814;9.433981132056603
124422-PP;Hippocampus;0.4837765022841748;13.416407864998739
124422-PP;Thalamus;0.8121869988898482;4.242640687119285
