SUBJECT;LABEL;DICE;HDRFDST;;LABEL;METRIC;STATISTIC;VALUE
115320-PP;Hippocampus;0.610658948;11;;;;;
115320-PP;Thalamus;0.784859727;8.602325267;;;;;
115320-PP;WhiteMatter;0.828852626;2;;;;;
116524;Amygdala;0.535128909;11.09053651;;;;;
116524;GreyMatter;0.72674022;2;;;;;
116524;Hippocampus;0.537684343;12.20655562;;;;;
116524;Thalamus;0.736709883;16.91153453;;;;;
116524;WhiteMatter;0.819660293;2.828427125;;;;;
116524-PP;Amygdala;0.545860898;10.63014581;;;;;
116524-PP;GreyMatter;0.724651976;2;;;;;
116524-PP;Hippocampus;0.559397911;10.29563014;;;;;
116524-PP;Thalamus;0.747433172;15.16575089;;;;;
116524-PP;WhiteMatter;0.825624606;2;;;;;
