SUBJECT;LABEL;DICE;HDRFDST;;LABEL;METRIC;STATISTIC;VALUE
106016;GreyMatter;0.714446744;2.828427125;;;;;
106016;Hippocampus;0.481359885;12.52996409;;;;;
106016;Thalamus;0.718099469;14.31782106;;;;;
106016;WhiteMatter;0.813789796;2.236067977;;;;;
106016-PP;Amygdala;0.598108083;7.071067812;;;;;
106016-PP;GreyMatter;0.697903696;3.16227766;;;;;
106016-PP;Hippocampus;0.586084501;6.164414003;;;;;
106016-PP;Thalamus;0.788597437;3.605551275;;;;;
106016-PP;WhiteMatter;0.831594674;2.236067977;;;;;
108828;Amygdala;0.564594159;11.35781669;;;;;
108828;GreyMatter;0.703133332;3;;;;;
108828;Hippocampus;0.540136325;13.41640786;;;;;
108828;Thalamus;0.740168438;22.91287847;;;;;
108828;WhiteMatter;0.843154189;2.236067977;;;;;
108828-PP;Amygdala;0.614642965;10.77032961;;;;;
108828-PP;GreyMatter;0.682706187;3.741657387;;;;;
108828-PP;Hippocampus;0.671915789;4.472135955;;;;;
108828-PP;Thalamus;0.803285753;5.477225575;;;;;
108828-PP;WhiteMatter;0.849899882;2.236067977;;;;;
110411;Amygdala;0.578927704;11.44552314;;;;;
110411;GreyMatter;0.707648765;3;;;;;
110411;Hippocampus;0.535087719;14.4222051;;;;;
110411;Thalamus;0.738525945;31.08054054;;;;;
110411;WhiteMatter;0.84742998;2.236067977;;;;;
110411-PP;Amygdala;0.655161461;9.486832981;;;;;
110411-PP;GreyMatter;0.682280186;4.358898944;;;;;
110411-PP;Hippocampus;0.684850927;10.48808848;;;;;
110411-PP;Thalamus;0.819859292;4.123105626;;;;;
110411-PP;WhiteMatter;0.8544306;2.236067977;;;;;
111312;Amygdala;0.563565556;10.86278049;;;;;
111312;GreyMatter;0.710762317;2.449489743;;;;;
111312;Hippocampus;0.54455874;12.9614814;;;;;
111312;Thalamus;0.779587455;15.93737745;;;;;
111312;WhiteMatter;0.822347643;2.236067977;;;;;
111312-PP;Amygdala;0.644968647;9.433981132;;;;;
111312-PP;GreyMatter;0.68290184;4.242640687;;;;;
111312-PP;Hippocampus;0.707750841;5;;;;;
111312-PP;Thalamus;0.863212783;4.358898944;;;;;
111312-PP;WhiteMatter;0.836277528;2.236067977;;;;;
111716;Amygdala;0.551717983;13.03840481;;;;;
111716;GreyMatter;0.703496182;2.236067977;;;;;
111716;Hippocampus;0.593546741;13.92838828;;;;;
111716;Thalamus;0.74049857;13.92838828;;;;;
111716;WhiteMatter;0.791888965;2.236067977;;;;;
111716-PP;Amygdala;0.635012386;10.72380529;;;;;
111716-PP;GreyMatter;0.675703952;5;;;;;
111716-PP;Hippocampus;0.73282629;4.358898944;;;;;
111716-PP;Thalamus;0.833692184;4.123105626;;;;;
111716-PP;WhiteMatter;0.814082332;2.236067977;;;;;
113619;Amygdala;0.504892368;13.3041347;;;;;
113619;GreyMatter;0.725532285;2.236067977;;;;;
113619;Hippocampus;0.579326428;13.45362405;;;;;
113619;Thalamus;0.781220942;14.86606875;;;;;
