SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.0;inf
117122;GreyMatter;0.6746532407315278;8.06225774829855
117122;Hippocampus;0.0;inf
117122;Thalamus;0.0;inf
117122;WhiteMatter;0.797105066134265;3.0
117122-PP;Amygdala;0.0;inf
117122-PP;GreyMatter;0.6746532407315278;8.06225774829855
117122-PP;Hippocampus;0.0;inf
117122-PP;Thalamus;0.0;inf
117122-PP;WhiteMatter;0.797105066134265;3.0
118528;Amygdala;0.0;inf
118528;GreyMatter;0.6735168747226296;7.280109889280518
118528;Hippocampus;0.0;inf
118528;Thalamus;0.0;inf
118528;WhiteMatter;0.8030957895788877;3.0
118528-PP;Amygdala;0.0;inf
118528-PP;GreyMatter;0.6735168747226296;7.280109889280518
118528-PP;Hippocampus;0.0;inf
118528-PP;Thalamus;0.0;inf
118528-PP;WhiteMatter;0.8030957895788877;3.0
118730;Amygdala;0.0;inf
118730;GreyMatter;0.6815920428761008;6.164414002968976
118730;Hippocampus;0.0;inf
118730;Thalamus;0.0;inf
118730;WhiteMatter;0.7853236810582782;3.0
118730-PP;Amygdala;0.0;inf
118730-PP;GreyMatter;0.6815920428761008;6.164414002968976
118730-PP;Hippocampus;0.0;inf
118730-PP;Thalamus;0.0;inf
118730-PP;WhiteMatter;0.7853236810582782;3.0
118932;Amygdala;0.0;inf
118932;GreyMatter;0.686984616385664;8.12403840463596
118932;Hippocampus;0.0;inf
118932;Thalamus;0.0;inf
118932;WhiteMatter;0.8118672122616141;3.0
118932-PP;Amygdala;0.0;inf
118932-PP;GreyMatter;0.686984616385664;8.12403840463596
118932-PP;Hippocampus;0.0;inf
118932-PP;Thalamus;0.0;inf
118932-PP;WhiteMatter;0.8118672122616141;3.0
120111;Amygdala;0.0;inf
120111;GreyMatter;0.6705359181528829;7.3484692283495345
120111;Hippocampus;0.0;inf
120111;Thalamus;0.0;inf
120111;WhiteMatter;0.8297890443100212;2.23606797749979
120111-PP;Amygdala;0.0;inf
120111-PP;GreyMatter;0.6705359181528829;7.3484692283495345
120111-PP;Hippocampus;0.0;inf
120111-PP;Thalamus;0.0;inf
120111-PP;WhiteMatter;0.8297890443100212;2.23606797749979
122317;Amygdala;0.0;inf
122317;GreyMatter;0.6794933918742294;7.0
122317;Hippocampus;0.0;inf
122317;Thalamus;0.0;inf
122317;WhiteMatter;0.804100332398454;3.7416573867739413
122317-PP;Amygdala;0.0;inf
122317-PP;GreyMatter;0.6794933918742294;7.0
122317-PP;Hippocampus;0.0;inf
122317-PP;Thalamus;0.0;inf
122317-PP;WhiteMatter;0.804100332398454;3.7416573867739413
122620;Amygdala;0.0;inf
122620;GreyMatter;0.6898409856883888;7.810249675906654
122620;Hippocampus;0.0;inf
122620;Thalamus;0.0;inf
122620;WhiteMatter;0.7831241154955981;3.1622776601683795
122620-PP;Amygdala;0.0;inf
122620-PP;GreyMatter;0.6898409856883888;7.810249675906654
122620-PP;Hippocampus;0.0;inf
122620-PP;Thalamus;0.0;inf
122620-PP;WhiteMatter;0.7831241154955981;3.1622776601683795
123117;Amygdala;0.0;inf
123117;GreyMatter;0.6700545040504723;8.660254037844387
123117;Hippocampus;0.0;inf
123117;Thalamus;0.0;inf
123117;WhiteMatter;0.8188516945366858;3.7416573867739413
123117-PP;Amygdala;0.0;inf
123117-PP;GreyMatter;0.6700545040504723;8.660254037844387
123117-PP;Hippocampus;0.0;inf
123117-PP;Thalamus;0.0;inf
123117-PP;WhiteMatter;0.8188516945366858;3.7416573867739413
123925;Amygdala;0.0;inf
123925;GreyMatter;0.6620160855226723;8.246211251235321
123925;Hippocampus;0.0;inf
123925;Thalamus;0.0;inf
123925;WhiteMatter;0.8013593384063958;3.1622776601683795
123925-PP;Amygdala;0.0;inf
123925-PP;GreyMatter;0.6620160855226723;8.246211251235321
123925-PP;Hippocampus;0.0;inf
123925-PP;Thalamus;0.0;inf
123925-PP;WhiteMatter;0.8013593384063958;3.1622776601683795
124422;Amygdala;0.0;inf
124422;GreyMatter;0.6601122383363316;7.0710678118654755
124422;Hippocampus;0.0;inf
124422;Thalamus;0.0;inf
124422;WhiteMatter;0.7563066977040224;4.242640687119285
124422-PP;Amygdala;0.0;inf
124422-PP;GreyMatter;0.6601122383363316;7.0710678118654755
124422-PP;Hippocampus;0.0;inf
124422-PP;Thalamus;0.0;inf
124422-PP;WhiteMatter;0.7563066977040224;4.242640687119285
