SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.49430989203384884;13.601470508735444
117122;GreyMatter;0.7235161341503938;2.0
117122;Hippocampus;0.5704439489154672;13.92838827718412
117122;Thalamus;0.7765932466068661;14.352700094407323
117122;WhiteMatter;0.8172647148893385;3.0
117122-PP;Amygdala;0.5182677949228471;12.649110640673518
117122-PP;GreyMatter;0.6928163687684302;3.0
117122-PP;Hippocampus;0.6141398158803222;11.40175425099138
117122-PP;Thalamus;0.7835579135170665;5.0
117122-PP;WhiteMatter;0.8228782816913526;2.23606797749979
118528;Amygdala;0.4632004215703496;13.92838827718412
118528;GreyMatter;0.7218831820022259;2.23606797749979
118528;Hippocampus;0.5404594839293798;14.317821063276353
118528;Thalamus;0.7277987054881475;15.132745950421556
118528;WhiteMatter;0.8291362462701358;2.8284271247461903
118528-PP;Amygdala;0.4778229369146492;13.92838827718412
118528-PP;GreyMatter;0.691222808362383;3.0
118528-PP;Hippocampus;0.5679077701311688;12.68857754044952
118528-PP;Thalamus;0.7334124456103096;9.433981132056603
118528-PP;WhiteMatter;0.8328500858123046;2.0
118730;Amygdala;0.5705802968960864;11.661903789690601
118730;GreyMatter;0.7299208560263475;2.0
118730;Hippocampus;0.5027468358272377;11.40175425099138
118730;Thalamus;0.7233158355205599;15.0
118730;WhiteMatter;0.8156090731859702;2.23606797749979
118730-PP;Amygdala;0.5855130784708249;11.445523142259598
118730-PP;GreyMatter;0.7008564349822689;3.0
118730-PP;Hippocampus;0.5128722558551948;7.810249675906654
118730-PP;Thalamus;0.7270743311073283;12.206555615733702
118730-PP;WhiteMatter;0.8213254814222618;2.0
118932;Amygdala;0.5517370540312764;12.727922061357855
118932;GreyMatter;0.7339884844676189;2.0
118932;Hippocampus;0.5204472169484374;13.379088160259652
118932;Thalamus;0.7430864556909386;14.866068747318506
118932;WhiteMatter;0.8348585041793565;2.23606797749979
118932-PP;Amygdala;0.5628358631092675;12.569805089976535
118932-PP;GreyMatter;0.7049891526227581;3.1622776601683795
118932-PP;Hippocampus;0.5564350064350064;10.862780491200215
118932-PP;Thalamus;0.7518559993364025;10.295630140987
118932-PP;WhiteMatter;0.8372917989602516;2.23606797749979
120111;Amygdala;0.5205596314622079;9.486832980505138
120111;GreyMatter;0.7183706695330314;2.0
120111;Hippocampus;0.5183680892337537;11.916375287812984
120111;Thalamus;0.6959993481626334;15.937377450509228
120111;WhiteMatter;0.8489234963870309;2.23606797749979
120111-PP;Amygdala;0.5429547245818372;9.433981132056603
120111-PP;GreyMatter;0.6891502506333893;3.0
120111-PP;Hippocampus;0.5496779981416808;10.0
120111-PP;Thalamus;0.7092337917485265;15.033296378372908
120111-PP;WhiteMatter;0.850035621895761;2.23606797749979
122317;Amygdala;0.5958150851581508;13.341664064126334
122317;GreyMatter;0.7358524421692947;2.0
122317;Hippocampus;0.5465824989116238;13.076696830622021
122317;Thalamus;0.763974109097909;14.035668847618199
122317;WhiteMatter;0.8354993287186523;2.8284271247461903
122317-PP;Amygdala;0.6165262735659848;12.529964086141668
122317-PP;GreyMatter;0.7067715666899251;2.8284271247461903
122317-PP;Hippocampus;0.587703715146366;10.816653826391969
122317-PP;Thalamus;0.7776079943728929;5.830951894845301
122317-PP;WhiteMatter;0.8391501549187689;2.23606797749979
122620;Amygdala;0.6018021297897516;13.152946437965905
122620;GreyMatter;0.7381594168716377;2.23606797749979
122620;Hippocampus;0.5566093473055754;14.212670403551895
122620;Thalamus;0.7622039632672789;12.529964086141668
122620;WhiteMatter;0.8075915834090222;2.8284271247461903
122620-PP;Amygdala;0.6241108199176338;13.0
122620-PP;GreyMatter;0.7104555173196965;3.0
122620-PP;Hippocampus;0.5926337825461206;10.63014581273465
122620-PP;Thalamus;0.76560278257826;6.324555320336759
122620-PP;WhiteMatter;0.8146055997208193;2.0
123117;Amygdala;0.5366340224882118;13.076696830622021
123117;GreyMatter;0.7223177684331572;2.449489742783178
123117;Hippocampus;0.5307571927290237;13.0
123117;Thalamus;0.7095726530863944;16.792855623746664
123117;WhiteMatter;0.8465686274509804;3.0
123117-PP;Amygdala;0.5608019486602961;12.36931687685298
123117-PP;GreyMatter;0.6952015383993992;3.0
123117-PP;Hippocampus;0.5563411124319589;11.180339887498949
123117-PP;Thalamus;0.7168303031545289;15.066519173319364
123117-PP;WhiteMatter;0.8505357287282113;2.0
123925;Amygdala;0.5528832760702015;11.575836902790225
123925;GreyMatter;0.7169784299211778;2.0
123925;Hippocampus;0.5360348191505327;13.416407864998739
123925;Thalamus;0.7749697625564963;14.247806848775006
123925;WhiteMatter;0.8326643852379977;3.0
123925-PP;Amygdala;0.5685762269080052;11.357816691600547
123925-PP;GreyMatter;0.6908008708036444;2.8284271247461903
123925-PP;Hippocampus;0.5686460507177639;10.295630140987
123925-PP;Thalamus;0.7799400565663388;6.48074069840786
123925-PP;WhiteMatter;0.8375912169170454;2.0
124422;Amygdala;0.6396039603960396;11.575836902790225
124422;GreyMatter;0.713842165155447;2.0
124422;Hippocampus;0.567238912732475;11.874342087037917
124422;Thalamus;0.7959103055652376;14.560219778561036
124422;WhiteMatter;0.7816344682426124;3.0
124422-PP;Amygdala;0.6575796647633082;10.723805294763608
124422-PP;GreyMatter;0.6927026647092327;2.449489742783178
124422-PP;Hippocampus;0.599050525601899;7.280109889280518
124422-PP;Thalamus;0.8148269640806954;7.280109889280518
124422-PP;WhiteMatter;0.7921611284147414;2.0
